SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540544,PSPPROJECT  ,B ,Q,537.95,537.95,520.00,524.45,524.45,523.35,65,1229,647171.00,
540545,BGJL        ,M ,Q,20.00,20.00,20.00,20.00,20.00,21.20,4,60000,1200000.00,
540552,AXISAEGPG   ,B ,Q,10.85,10.85,9.36,10.40,10.40,10.40,56,80658,815834.00,
540575,STARCEMENT  ,B ,Q,120.00,120.85,119.95,120.10,120.65,122.50,45,5042,605304.00,
540593,HEOF1126RG  ,B ,Q,10.01,10.01,10.00,10.00,10.00,10.10,2,1500,15001.00,
540595,TEJASNET    ,B ,Q,173.25,175.10,166.70,170.20,169.70,170.05,250,3106,528981.00,
540596,ERIS        ,A ,Q,491.45,517.00,489.20,509.80,509.30,496.10,75,682,342819.00,
540602,GTPL        ,B ,Q,64.05,65.00,64.05,65.00,65.00,65.00,2,27,1738.00,
540611,AUBANK      ,A ,Q,703.00,712.45,703.00,711.20,712.40,705.50,495,3261,2315162.00,
540612,ICICILOVOL  ,B ,Q,91.00,91.00,90.55,90.55,90.55,92.39,2,2,181.00,
540614,GGENG       ,M ,Q,55.45,56.00,55.45,56.00,56.00,56.35,14,30000,1671750.00,
540615,7NR         ,M ,Q,101.00,101.00,101.00,101.00,101.00,102.00,2,27000,2727000.00,
540616,ARTEMIS     ,B ,Q,58.95,58.95,58.95,58.95,58.95,54.50,1,10,589.00,
540621,BHAGYAPROP  ,B ,Q,26.55,26.55,26.10,26.10,26.10,27.55,3,1054,27861.00,
540642,SALASAR     ,B ,Q,180.00,180.00,174.90,178.00,177.95,180.35,14,189,33568.00,
540647,GANGESSEC   ,B ,Q,44.00,44.00,44.00,44.00,44.00,44.05,1,174,7656.00,
540648,PALASHSEC   ,B ,Q,41.25,41.25,40.05,40.75,40.05,40.25,6,630,25881.00,
540649,AVADHSUGAR  ,B ,Q,728.50,728.95,695.00,712.90,712.90,720.35,440,6584,4713366.00,
540650,MAGADHSUGAR ,B ,Q,180.05,180.50,174.35,179.15,179.00,181.25,66,3545,626302.00,
540653,SINTEXPLAST ,B ,Q,10.50,10.55,10.05,10.05,10.05,11.15,250,98972,1000857.00,
540655,DAFXXIIIGR  ,F ,Q,9.60,9.60,9.60,9.60,9.60,9.37,2,1000,9600.00,
540669,UTINEXT50   ,B ,Q,281.00,281.00,281.00,281.00,281.00,278.05,1,1,281.00,
540673,SIS         ,B ,Q,937.90,954.70,925.00,949.85,948.25,947.90,88,750,698006.00,
540678,COCHINSHIP  ,A ,Q,394.40,402.00,394.40,397.05,397.05,395.40,281,3780,1505617.00,
540679,SMSLIFE     ,B ,Q,444.60,469.00,436.60,455.25,455.00,458.00,29,610,277052.00,
540686,SMRUTHIORG  ,X ,Q,152.50,152.50,149.00,149.00,149.00,150.00,6,40,5999.00,
540691,ABCAPITAL   ,A ,Q,96.10,97.20,94.40,95.15,95.15,96.50,1068,136991,13056338.00,
540692,APEX        ,B ,Q,265.10,274.30,258.45,271.30,271.30,268.30,508,15374,4110705.00,
540694,ANG         ,M ,Q,50.00,50.00,46.00,46.00,46.00,46.55,3,16000,770400.00,
540699,DIXON       ,B ,Q,2252.15,2305.55,2177.10,2270.70,2273.55,2278.35,137,302,669151.00,
540700,BRNL        ,B ,Q,88.00,88.00,84.50,85.70,85.70,90.70,7,155,13189.00,
